Date,^GSPC,^STOXX
2005-01-03,1202.0799560546875,252.5500030517578
2005-01-04,1188.050048828125,253.5500030517578
2005-01-05,1183.739990234375,251.85000610351562
2005-01-06,1187.8900146484375,253.08999633789062
2005-01-07,1186.18994140625,254.72000122070312
2005-01-10,1190.25,254.6199951171875
2005-01-11,1182.989990234375,252.72999572753906
2005-01-12,1187.699951171875,250.7899932861328
2005-01-13,1177.449951171875,251.72999572753906
2005-01-14,1184.52001953125,252.99000549316406
2005-01-17,,254.02999877929688
2005-01-18,1195.97998046875,254.27999877929688
2005-01-19,1184.6300048828125,254.72999572753906
2005-01-20,1175.4100341796875,253.69000244140625
2005-01-21,1167.8699951171875,253.4199981689453
2005-01-24,1163.75,253.27999877929688
2005-01-25,1168.4100341796875,254.94000244140625
2005-01-26,1174.0699462890625,255.02999877929688
2005-01-27,1174.550048828125,256.1199951171875
2005-01-28,1171.3599853515625,255.13999938964844
2005-01-31,1181.27001953125,256.8500061035156
2005-02-01,1189.4100341796875,258.8599853515625
2005-02-02,1193.18994140625,259.6700134277344
2005-02-03,1189.8900146484375,259.5400085449219
2005-02-04,1203.030029296875,261.9200134277344
2005-02-07,1201.719970703125,263.32000732421875
2005-02-08,1202.300048828125,263.80999755859375
2005-02-09,1191.989990234375,263.3900146484375
2005-02-10,1197.010009765625,263.1300048828125
2005-02-11,1205.300048828125,265.5199890136719
2005-02-14,1206.1400146484375,265.9100036621094
2005-02-15,1210.1199951171875,266.9700012207031
2005-02-16,1210.3399658203125,265.3500061035156
2005-02-17,1200.75,265.6400146484375
2005-02-18,1201.5899658203125,266.010009765625
2005-02-21,,265.6600036621094
2005-02-22,1184.1600341796875,263.75
2005-02-23,1190.800048828125,262.29998779296875
2005-02-24,1200.199951171875,262.1400146484375
2005-02-25,1211.3699951171875,265.1400146484375
2005-02-28,1203.5999755859375,264.2900085449219
2005-03-01,1210.4100341796875,266.25
2005-03-02,1210.0799560546875,266.1600036621094
2005-03-03,1210.469970703125,266.1499938964844
2005-03-04,1222.1199951171875,267.9100036621094
2005-03-07,1225.31005859375,267.67999267578125
2005-03-08,1219.4300537109375,266.2099914550781
2005-03-09,1207.010009765625,264.5899963378906
2005-03-10,1209.25,262.45001220703125
2005-03-11,1200.0799560546875,263.04998779296875
2005-03-14,1206.8299560546875,262.6600036621094
2005-03-15,1197.75,264.7900085449219
2005-03-16,1188.0699462890625,261.1199951171875
2005-03-17,1190.2099609375,261.1199951171875
2005-03-18,1189.6500244140625,261.69000244140625
2005-03-21,1183.780029296875,261.05999755859375
2005-03-22,1171.7099609375,261.54998779296875
2005-03-23,1172.530029296875,260.6600036621094
2005-03-24,1171.4200439453125,262.1700134277344
2005-03-28,1174.280029296875,
2005-03-29,1165.3599853515625,262.8900146484375
2005-03-30,1181.4100341796875,262.0899963378906
2005-03-31,1180.5899658203125,262.19000244140625
2005-04-01,1172.9200439453125,263.42999267578125
2005-04-04,1176.1199951171875,262.260009765625
2005-04-05,1181.3900146484375,264.4700012207031
2005-04-06,1184.0699462890625,265.5199890136719
2005-04-07,1191.1400146484375,266.30999755859375
2005-04-08,1181.199951171875,266.8900146484375
2005-04-11,1181.2099609375,266.32000732421875
2005-04-12,1187.760009765625,265.4200134277344
2005-04-13,1173.7900390625,266.6499938964844
2005-04-14,1162.050048828125,266.010009765625
2005-04-15,1142.6199951171875,261.8500061035156
2005-04-18,1145.97998046875,257.2799987792969
2005-04-19,1152.780029296875,259.04998779296875
2005-04-20,1137.5,257.6600036621094
2005-04-21,1159.949951171875,257.2799987792969
2005-04-22,1152.1199951171875,259.2699890136719
2005-04-25,1162.0999755859375,260.45001220703125
2005-04-26,1151.8299560546875,259.5199890136719
2005-04-27,1156.3800048828125,255.99000549316406
2005-04-28,1143.219970703125,255.6300048828125
2005-04-29,1156.8499755859375,256.05999755859375
2005-05-02,1162.1600341796875,256.8299865722656
2005-05-03,1161.1700439453125,257.9599914550781
2005-05-04,1175.6500244140625,259.2900085449219
2005-05-05,1172.6300048828125,260.7699890136719
2005-05-06,1171.3499755859375,261.8999938964844
2005-05-09,1178.8399658203125,261.010009765625
2005-05-10,1166.219970703125,259.1099853515625
2005-05-11,1171.1099853515625,258.54998779296875
2005-05-12,1159.3599853515625,260.1300048828125
2005-05-13,1154.050048828125,260.1499938964844
2005-05-16,1165.68994140625,259.05999755859375
2005-05-17,1173.800048828125,259.32000732421875
2005-05-18,1185.56005859375,259.1199951171875
2005-05-19,1191.0799560546875,263.5199890136719
2005-05-20,1189.280029296875,263.75
2005-05-23,1193.8599853515625,264.8399963378906
2005-05-24,1194.0699462890625,264.6300048828125
2005-05-25,1190.010009765625,264.4800109863281
2005-05-26,1197.6199951171875,266.3299865722656
2005-05-27,1198.780029296875,266.1000061035156
2005-05-30,,267.3699951171875
2005-05-31,1191.5,267.2900085449219
2005-06-01,1202.219970703125,270.8699951171875
2005-06-02,1204.2900390625,270.8299865722656
2005-06-03,1196.02001953125,270.25
2005-06-06,1197.510009765625,269.3999938964844
2005-06-07,1197.260009765625,272.57000732421875
2005-06-08,1194.6700439453125,271.9200134277344
2005-06-09,1200.9300537109375,271.9800109863281
2005-06-10,1198.1099853515625,273.6300048828125
2005-06-13,1200.8199462890625,274.7200012207031
2005-06-14,1203.9100341796875,275.1000061035156
2005-06-15,1206.5799560546875,273.989990234375
2005-06-16,1210.9599609375,275.510009765625
2005-06-17,1216.9599609375,275.8699951171875
2005-06-20,1216.0999755859375,275.7799987792969
2005-06-21,1213.6099853515625,277.1000061035156
